"imprimō imprimere impressī impressum","to press into, impress, stamp",1,Verb
"impudentia impudentiae {f.}","shamelessness, impudence",1,Noun
"impūrus impūra impūrum","unclean, impure, foul",1,Adjective
"inaudiō inaudīre inaudīvī inaudītum","to hear of, learn",1,Verb
"incīdō incīdere incīdī incīsus","to cut into, cut down, fall upon",1,Verb
"incipiō incipere incēpī inceptus","to begin, start",1,Verb
"incommodum incommodī {n.}","disadvantage, trouble, misfortune",1,Noun
"incredībilis incredībile","incredible, unbelievable",1,Adjective
"incumbō incumbere incubuī incubitus","to lean upon, apply oneself to",1,Verb
"indecōrus indecōra indecōrum","unseemly, disgraceful",1,Adjective
"indicium indiciī {n.}","information, evidence, sign",1,Noun
"indīcō indīcere indīxī indictus","to declare, proclaim, appoint",1,Verb
"indīgnus indīgna indīgnum","unworthy, undeserving of (+ ablative)",1,Adjective
"indūcō indūcere indūxī inductus","to lead in, induce, persuade",1,Verb
"Indus Inda Indum","Indian, of India",1,Adjective
"industrius industria industrium","industrious, diligent",1,Adjective
"indūtiae indūtiārum {f. pl.}","truce, armistice",1,Noun
"ineō inīre iniī {/} inīvī initus","to go into, enter, begin",1,Verb
"īnfāmia īnfāmiae {f.}","disgrace, infamy, bad repute",1,Noun
"īnfīnītīvus īnfīnītīva īnfīnītīvum","infinite, endless, boundless",1,Adjective
"īnfīnītus īnfīnīta īnfīnītum","infinite, boundless",1,Adjective
"īnfīrmus īnfīrma īnfīrmum","weak, feeble",1,Adjective
"ingenerō ingenerāre ingenerāvī ingenerātum","to implant, engender, create",1,Verb
"ingerō ingerere ingessī ingessum","to heap upon, pour in, force upon",1,Verb
"ingredior ingredī ingressus sum","to enter, go into, begin",1,Verb
"inīquus inīqua inīquum","unequal, unfair, unjust",1,Adjective
"iniungō iniungere iniūnxī iniūnctum","to join to, impose, enjoin",1,Verb
"iniūriōsus iniūriōsa iniūriōsum","wrongful, unjust, injurious",1,Adjective
"innocentia innocentiae {f.}","innocence, integrity",1,Noun
"innumerābilis innumerābile","countless, innumerable",1,Adjective
"inquīsītiō inquīsītiōnis {f.}","a seeking, inquiry, investigation",1,Noun
"īnsolēns īnsolentis","arrogant, insolent, unaccustomed",1,Adjective
"īnsolentia īnsolentiae {f.}","arrogance, insolence, strangeness",1,Noun
"īnspiciō īnspicere īnspexī īnspectus","to look into, examine, inspect",1,Verb
"īnstituō īnstituere īnstituī īnstitūtus","to set up, establish, teach",1,Verb
"īnstruō īnstruere īnstrūxī īnstrūctus","to build, arrange, draw up (troops)",1,Verb
"īnsula īnsulae {f.}","island",1,Noun
"intemperāns intemperantis","immoderate, unrestrained",1,Adjective
"intercessor intercessōris {m.}","one who vetoes, an intercessor",1,Noun
"interdum","sometimes, now and then",1,Adverb
"intericiō (interiaciō) intericere interiēcī interiectum","to throw between, interpose",1,Verb
"interim","meanwhile",1,Adverb
"interior interius","inner, interior",1,Adjective
"interitus interitūs {m.}","destruction, ruin, death",1,Noun
"interpōnō interpōnere interposuī interpositus","to place between, interpose, allege",1,Verb
"interpres interpretis {m. or f.}","interpreter, translator, mediator",1,Noun
"intersum interesse interfuī","to be between; take part in; it matters",1,Verb
"interveniō intervenīre intervēnī interventum","to come between, intervene",1,Verb
"intrā","within, inside (+ accusative)",1,Preposition
"intrō intrāre intrāvī intrātus","to enter",1,Verb
"intrōdūcō intrōdūcere intrōdūxī intrōductum","to lead in, introduce",1,Verb
"intueor intuērī intuitus sum","to look at, gaze upon, consider",1,Verb
"inultus inulta inultum","unavenged, unpunished",1,Adjective
"inūsitātus inūsitāta inūsitātum","unusual, strange, unfamiliar",1,Adjective
"inveniō invenīre invēnī inventus","to find, discover, come upon",1,Verb
"inventiō inventiōnis {f.}","invention, discovery",1,Noun
"investīgātiō investīgātiōnis {f.}","investigation, inquiry",1,Noun
"invicem","in turn, alternately",1,Adverb
"invidia invidiae {f.}","envy, jealousy, hatred",1,Noun
"invītō invītāre invītāvī invītātus","to invite, summon",1,Verb
"irruptiō irruptiōnis {f.}","a breaking in, invasion, attack",1,Noun
"Īsocratēs Īsocratis {or} Īsocratī {m.}","Isocrates (a Greek orator)",1,Noun
"Iuba Iubae {m.}","Juba (a king of Numidia)",1,Noun
"iūcunditās iūcunditātis {f.}","pleasantness, delight, charm",1,Noun
"iūcundus iūcunda iūcundum","pleasant, delightful, agreeable",1,Adjective
"iugum iugī {n.}","yoke, ridge, summit",1,Noun
"iūmentum iūmentī {n.}","beast of burden, pack animal",1,Noun
"iūs iūrandum iūris iūrandī {n.}","oath",1,Noun
"iussus iussūs {m.}","order, command",1,Noun
"iūstitia iūstitiae {f.}","justice, fairness, righteousness",1,Noun
"labefaciō labefacere labefēcī labefactus {;} labefīō labefierī labefactus sum {(pass.)}","to make totter, weaken, shake",1,Verb
"labor labōris {m.}","labor, work, toil",1,Noun
"lacerō lacerāre lacerāvī lacerātus","to tear to pieces, mangle",1,Verb
"lacrima lacrimae {f.}","tear",1,Noun
"lacrimō lacrimāre lacrimāvī lacrimātus {or} lacrimor lacrimārī lacrimātus sum","to weep, cry",1,Verb
"lacus lacūs {m.}","lake",1,Noun
"Laelius Laeliī {m.}","Laelius (a Roman name)",1,Noun
"lancinō lancināre lancināvī lancinātus","to tear to pieces, rend",1,Verb
"Lārīsa Lārīsae {f.}","Larisa (a city in Thessaly)",1,Noun
"lassitūdō lassitūdinis {f.}","weariness, fatigue, exhaustion",1,Noun
"latibulum latibulī {n.}","hiding place, lurking place, den",1,Noun
"lātitūdō lātitūdinis {f.}","width, breadth",1,Noun
"Latobrīgus Latobrīga Latobrīgum","of the Latobrigi (a Germanic tribe)",1,Adjective
"latrō latrōnis {m.}","robber, bandit, brigand",1,Noun
"laudābilis laudābile","praiseworthy, commendable",1,Adjective
"lecticulus lecticulī {m.}","a small couch, litter",1,Noun
"lectus lectī {m.}","bed, couch",1,Noun
"legiōnārius legiōnāria legiōnārium","legionary, of a legion",1,Adjective
"lēgitimus (lēgitumus) lēgitima lēgitimum","lawful, legal, legitimate",1,Adjective
"Lemmanus Lemmanī {m.}","Lake Geneva",1,Noun
"lēniter lēnius {(comp.)} lēnissimē {(superl.)}","gently, mildly, softly",1,Adverb
"Leontīnus Leontīna Leontīnum","of Leontini (a city in Sicily)",1,Adjective
"libenter","willingly, gladly",1,Adverb
"lībertās lībertātis {f.}","freedom, liberty",1,Noun
"lībertīnus lībertīna lībertīnum","of a freedman",1,Adjective
"lībertīnus lībertīnī {m.}","freedman",1,Noun
"lībertus lībertī {m.}","freedman",1,Noun
"libīdinōsus libīdinōsa libīdinōsum","lustful, licentious",1,Adjective
"līctor līctōris {m.}","lictor (an attendant of a magistrate)",1,Noun
"līmen līminis {n.}","threshold, doorway, entrance",1,Noun
"lītus lītoris {n.}","shore, coast, beach",1,Noun
"longitūdō longitūdinis {f.}","length",1,Noun
"lūmen lūminis {n.}","light, lamp; eye",1,Noun
"Lupercī Lupercōrum {m. pl.}","the Luperci (priests of Pan)",1,Noun
"lūstrō lūstrāre lūstrāvī lūstrātus","to purify, survey, traverse",1,Verb
"macula maculae {f.}","spot, stain, blemish",1,Noun
"Maelius Maeliī {m.}","Maelius (a Roman name)",1,Noun
"maereō maerēre","to grieve, mourn",1,Verb
"magnopere","greatly, very much",1,Adverb
"mālus mālī {m.}","mast (of a ship)",1,Noun
"mandātum mandātī {n.}","order, command, instruction",1,Noun
"maneō manēre mānsī mānsum","to remain, stay, wait",1,Verb
"Mānlius Mānliī {m.}","Manlius (a Roman name)",1,Noun
"mānsiō mānsiōnis {f.}","a staying, remaining; a stopping-place",1,Noun
"mānsuētus mānsuēta mānsuētum","tame, gentle, mild",1,Adjective
"manus manūs {f.}","hand; band of men",1,Noun
"maritimus maritima maritimum","maritime, of the sea",1,Adjective
"Matrona Matronae {m.}","the Marne river",1,Noun
"mātūrō mātūrāre mātūrāvī mātūrātus","to hasten, ripen, make haste",1,Verb
"Maurētānia Maurētāniae {f.}","Mauretania (a region in North Africa)",1,Noun
Latin Word,English Definition(s),Frequency,Part of Speech
"mediocritās mediocritātis {f.}","moderation, mediocrity",1,Noun
"meditor meditārī meditātus sum","to think about, meditate, practice",1,Verb
"mediusfidius {or} medius fidius","by the god of truth! so help me God!",1,Interjection
"mentiō mentiōnis {f.}","mention",1,Noun
"mentula mentulae {f.}","penis",1,Noun
"mereor merērī meritus sum","to deserve, earn, merit",1,Verb
"meretrīcius meretrīcia meretrīcium","of a prostitute, harlot-like",1,Adjective
"meritō","deservedly, rightly",1,Adverb
"meritus merita meritum","deserved, just, proper",1,Adjective
"Messāla Messālae {m.}","Messala (a Roman name)",1,Noun
"mētior mētīrī mēnsus sum","to measure, distribute",1,Verb
"Milō (Milōn) Milōnis {m.}","Milo (a Roman politician)",1,Noun
"minae minārum {f. pl.}","threats, menaces",1,Noun
"Minucius Minuciī {m.}","Minucius (a Roman name)",1,Noun
"mīrus mīra mīrum","wonderful, strange, surprising",1,Adjective
"Mīsēnum Mīsēnī {n.}","Misenum (a promontory and town in Campania)",1,Noun
"miserātiō miserātiōnis {f.}","pity, compassion",1,Noun
"miseria miseriae {f.}","misery, wretchedness, suffering",1,Noun
"missiō missiōnis {f.}","a sending, dismissal, discharge",1,Noun
"moderātus moderāta moderātum","moderate, restrained, temperate",1,Adjective
"moechus moechī {m.}","adulterer",1,Noun
"molestus molesta molestum","annoying, troublesome, tiresome",1,Adjective
"mōlior mōlīrī mōlītus sum","to strive, struggle, undertake",1,Verb
"mollis molle","soft, gentle, tender",1,Adjective
"molō molere moluī molitum","to grind",1,Verb
"monumentum monumentī {n.}","monument, memorial, record",1,Noun
"morbōsus morbōsa morbōsum","diseased, morbid",1,Adjective
"morbus morbī {m.}","sickness, disease",1,Noun
"mōtus mōtūs {m.}","motion, movement, disturbance",1,Noun
"muliebris muliebre","womanly, feminine, effeminate",1,Adjective
"mūniceps mūnicipis {m.}","citizen of a municipium, townsman",1,Noun
"mūnicipium mūnicipiī {n.}","a free town, municipality",1,Noun
"mūnītiō mūnītiōnis {f.}","fortification, defense",1,Noun
"mūtō mūtāre mūtāvī mūtātus","to change, alter, exchange",1,Verb
"Nammēius Nammēiī {m.}","Nammeius (a chief of the Helvetii)",1,Noun
"namque","for, and in fact",1,Conjunction
"nancīscor nancīscī nanctus (nactus) sum","to obtain, get, find",1,Verb
"nāscor nāscī nātus sum","to be born, arise",1,Verb
"nauseō nauseāre nauseāvī nauseātum","to be seasick, feel nausea",1,Verb
"nāviculārius nāviculāria nāviculārium","of a ship-owner",1,Adjective
"nāvigātiō nāvigātiōnis {f.}","sailing, navigation, voyage",1,Noun
"nāvus nāva nāvum","diligent, active, zealous",1,Adjective
"nē","(introduces a command or prohibition); that not, lest",1,"Adverb / Conjunction"
"necessitūdō necessitūdinis {f.}","necessity, relationship, bond",1,Noun
"necne","or not",1,Conjunction
"nefārius nefāria nefārium","wicked, impious, abominable",1,Adjective
"negōtior negōtiārī negōtiātus sum","to do business, trade",1,Verb
"nēquīquam","in vain, to no purpose",1,Adverb
"nēquitia nēquitiae {f.} ({or} nēquitiēs nēquitiēī {f.})","worthlessness, wickedness, vice",1,Noun
"nervus nervī {m.}","sinew, muscle, nerve",1,Noun
"nesciō nescīre nescīvī {/} nesciī nescītus","to not know, be ignorant",1,Verb
"nescioquis nescioqua nescioquid {also written as two words}","someone or other, I know not who",1,Pronoun
"nihilōminus {or} nihilō minus","nevertheless, nonetheless",1,Adverb
"Nīlus Nīlī {m.}","the Nile river",1,Noun
"nimis","too much, excessively",1,Adverb
"nimium (nimiō)","too much, excessively",1,Adverb
"nimius nimia nimium","excessive, too great",1,Adjective
"nōbilitō nōbilitāre nōbilitāvī nōbilitātus","to make known, make famous",1,Verb
"nōminātim","by name",1,Adverb
"nōminō nōmināre nōmināvī nōminātus","to name, call by name",1,Verb
"Nōrēia Nōrēiae {f.}","Noreia (a town in Noricum)",1,Noun
"Nōricus Nōrica Nōricum","Noric, of Noricum",1,Adjective
"nox noctis {f.}","night",1,Noun
"nūdō nūdāre nūdāvī nūdātus","to strip, make bare, expose",1,Verb
"nūdus nūda nūdum","naked, bare, stripped",1,Adjective
"numquis numquae (numqua) numquod","is there any...?",1,Pronoun
"nuncupō nuncupāre nuncupāvī nuncupātus","to name, call, declare",1,Verb
"nūntius nūntiī {m.}","messenger, message",1,Noun
"obaerātus obaerāta obaerātum","in debt; (as a noun) a debtor",1,Adjective
"obeō obīre obiī {/} obīvī obitum","to go to meet, perform, die",1,Verb
"obnūntiō obnūntiāre obnūntiāvī obnūntiātum","to announce an unfavorable omen, oppose",1,Verb
"observō observāre observāvī observātus","to watch, observe, pay attention to",1,Verb
"obses obsidis {m. or f.}","hostage",1,Noun
"obsidiō obsidiōnis {f.}","siege, blockade",1,Noun
"obstrepō obstrepere obstrepuī obstrepitum","to make a noise against, drown out",1,Verb
"obstringō obstringere obstrīnxī obstrictum","to bind, put under obligation",1,Verb
"obtemperō obtemperāre obtemperāvī obtemperātus","to obey, comply with",1,Verb
"obtrectātiō obtrectātiōnis {f.}","disparagement, detraction",1,Noun
"occāsiō occāsiōnis {f.}","opportunity, occasion",1,Noun
"occāsus occāsūs {m.}","setting (of the sun), downfall, ruin",1,Noun
"occidēns occidentis","the west",1,Noun
"occultus occulta occultum","hidden, secret, concealed",1,Adjective
"occurrō occurrere occurrī occursus","to run to meet, encounter, oppose",1,Verb
"octō {;} octāvus octāva octāvum","eight; eighth",1,Numeral
"ōdī ōdisse","to hate",1,Verb
"offēnsiō offēnsiōnis {f.}","offense, displeasure, setback",1,Noun
"offundō offundere offūdī offūsum","to pour over, spread over, fill",1,Verb
"omittō omittere omīsī omissus","to let go, neglect, omit",1,Verb
"opīmus opīma opīmum","rich, fat, splendid",1,Adjective
"opīniō opīniōnis {f.}","opinion, belief, expectation",1,Noun
"oppōnō oppōnere opposuī oppositum","to set against, oppose",1,Verb
"optō optāre optāvī optātus","to choose, desire, wish for",1,Verb
"ōrō ōrāre ōrāvī ōrātus","to speak, plead, pray",1,Verb
"ostentātiō ostentātiōnis {f.}","display, ostentation, parade",1,Noun
"palam","openly, publicly",1,Adverb
"palleō pallēre palluī","to be pale, be anxious",1,Verb
"palma palmae {f.}","palm (of the hand); palm tree; victory",1,Noun
"palūdātus palūdāta palūdātum","wearing a military cloak",1,Adjective
"parcō parcere pepercī parsus","to spare, be lenient to (+ dative)",1,Verb
"pāreō pārēre pāruī pāritus","to obey, be subject to (+ dative)",1,Verb
"pariēs parietis {m.}","wall (of a house)",1,Noun
"pariter","equally, in like manner, at the same time",1,Adverb
"Parthus Partha Parthum","Parthian",1,Adjective
"particeps participis","sharing, participating in (+ genitive)",1,Adjective
"parvum parvī {n.}","a small thing, a trifle",1,Noun
"pāstiō pāstiōnis {f.}","pasturage, grazing",1,Noun
"pāstus pāstūs {m.}","pasture, feeding",1,Noun
"paternus paterna paternum","of a father, paternal, ancestral",1,Adjective
"pathicus pathica pathicum","sodomitical, pathic",1,Adjective
"patienter","patiently",1,Adverb
"patria patriae {f.}","fatherland, country",1,Noun
"patrimōnium patrimōniī {n.}","inheritance, patrimony",1,Noun
"patrius patria patrium","of a father, paternal, ancestral",1,Adjective
"patrōnus patrōnī {m.}","patron, protector, defender",1,Noun
"paulisper","for a little while",1,Adverb
"pectus pectoris {n.}","chest, breast, heart",1,Noun
"pecū pecūs {n.}","cattle, flock, herd",1,Noun
"pellō pellere pepulī pulsus","to drive, push, strike",1,Verb
"penes","in the power of, in the possession of (+ accusative)",1,Preposition
"penetrō penetrāre penetrāvī penetrātus","to penetrate, enter",1,Verb
"pēnsitō pēnsitāre pēnsitāvī pēnsitātus","to weigh carefully, consider, pay",1,Verb
"pergrātus pergrāta pergrātum","very pleasant, very agreeable",1,Adjective
"perpaucus perpauca perpaucum","very few",1,Adjective
"pervertō pervertere pervertī perversum","to overturn, corrupt, pervert",1,Verb
"peragrō peragrāre peragrāvī peragrātus","to travel through, traverse",1,Verb
"perambulō perambulāre perambulāvī perambulātus","to walk through, travel through",1,Verb
"perbrevis perbreve","very short",1,Adjective
"perditus perdita perditum","lost, ruined, corrupt",1,Adjective
"perferō perferre pertulī perlātum","to carry through, endure, report",1,Verb
"perfugium perfugiī {n.}","refuge, shelter",1,Noun
"perhorrēscō perhorrēscere perhorruī","to shudder greatly at, tremble at",1,Verb
"perīclitor perīclitārī perīclitātus sum","to be in danger, risk, test",1,Verb
"perītus perīta perītum","skilled, experienced in (+ genitive)",1,Adjective
"permisceō permiscēre permiscuī permistus (permixtus)","to mix thoroughly, mingle",1,Verb
"permultus permulta permultum","very much, very many",1,Adjective
"perpetuus perpetua perpetuum","continuous, perpetual, entire",1,Adjective
"persequor persequī persecūtus sum","to follow, pursue, persecute",1,Verb
"perstringō perstringere perstrīnxī perstrīctus","to graze, touch upon, criticize",1,Verb
"pertimēscō pertimēscere pertimuī","to become very frightened of",1,Verb
"pertinācia pertināciae {f.}","stubbornness, obstacy, persistence",1,Noun
"petītiō petītiōnis {f.}","attack, request, candidacy",1,Noun
"Phalēreus Phalēreī {/} Phalēreos {masc. only. adj.}","of Phalerum (the port of Athens)",1,Adjective
"philosophor philosophārī philosophātus sum","to philosophize",1,Verb
"plānē","plainly, clearly, completely",1,Adverb
"plangor plangōris {m.}","beating of the breast, lamentation",1,Noun
"plānitiēs plānitiēī {f.}","plain, level ground",1,Noun
"Platōnicus Platōnica Platōnicum","Platonic, of Plato",1,Adjective
"plausus plausūs {m.}","applause, clapping",1,Noun
"plērumque","for the most part, generally",1,Adverb
"Poenus Poena Poenum","Carthaginian, Punic",1,Adjective
"polleō pollēre","to be strong, be powerful, have influence",1,Verb
"Pompēiānus Pompēiāna Pompēiānum","of Pompey, Pompeian",1,Adjective
"pondus ponderis {n.}","weight",1,Noun
"Ponticus Pontica Ponticum","of Pontus, Pontic",1,Adjective
"porta portae {f.}","gate, entrance",1,Noun
"porticus porticūs {f.}","colonnade, portico",1,Noun
"portō portāre portāvī portātus","to carry, bring",1,Verb
"possessiō possessiōnis {f.}","possession, property",1,Noun
"posthāc","hereafter, after this",1,Adverb
"postquam","after, when",1,Conjunction
"postulātiō postulātiōnis {f.} ({or} postulātum postulātī {n.})","demand, claim, request",1,Noun
"potis {or} pote {indecl.}","able, capable",1,Adjective
"praecēdō praecēdere praecessī praecessus","to go before, precede, surpass",1,Verb
"praeceptiō praeceptiōnis {f.}","a precept, instruction, rule",1,Noun
"praecipuus praecipua praecipuum","special, particular, distinguished",1,Adjective
"praeda praedae {f.}","booty, plunder, prey",1,Noun
"praedicō praedicāre praedicāvī praedicātus","to proclaim, declare, praise",1,Verb
"praedīcō praedīcere praedīxī praedictus","to predict, foretell, advise",1,Verb
"praefectus praefectī {m.}","prefect, commander, governor",1,Noun
"praeficiō praeficere praefēcī praefectus","to put in charge of, appoint over",1,Verb
"praegredior praegredī praegressus sum","to go before, precede",1,Verb
"praeparō praeparāre praeparāvī praeparātus","to prepare, make ready beforehand",1,Verb
"praescrīptum praescrīptī {n.}","rule, precept, regulation",1,Noun
"praesentia praesentiae {f.}","presence",1,Noun
"praesideō praesidēre praesēdī","to preside over, protect, command",1,Verb
"praetextātus praetextāta praetextātum","wearing the toga praetexta, youthful",1,Adjective
"praetūra praetūrae {f.}","praetorship",1,Noun
"prātum prātī {n.}","meadow",1,Noun
"premō premere pressī pressus","to press, press hard, overwhelm",1,Verb
"prīdiē","on the day before",1,Adverb
"probābilis probābile","probable, plausible, commendable",1,Adjective
"probitās probitātis {f.}","honesty, integrity, uprightness",1,Noun
"prōcēdō prōcēdere prōcessī prōcessus","to go forward, advance, proceed",1,Verb
"prōdō prōdere prōdidī prōditus","to bring forth, betray, hand down",1,Verb
"profugiō profugere profūgī","to flee, escape",1,Verb
"prōgredior prōgredī prōgressus sum","to go forward, advance, proceed",1,Verb
"proinde {or} proin","therefore, accordingly, just as",1,Adverb
"prōmptus prōmpta prōmptum","ready, quick, at hand",1,Adjective
"prōmptus prōmptūs {m.}","readiness, willingness",1,Noun
"prōmulgō prōmulgāre prōmulgāvī prōmulgātus","to make known, publish, propose (a law)",1,Verb
"propinquus propinqua propinquum","near, neighboring; (as a noun) relative",1,Adjective
"prōpraetor prōpraetōris {m.}","propraetor (a governor of a province)",1,Noun
"prōscriptiō prōscriptiōnis {f.}","proscription, public notice of sale",1,Noun
"prōsequor prōsequī prōsecūtus sum","to follow, pursue, escort",1,Verb
"prōsper ({or more frequently} prōsperus) prōspera prōsperum","prosperous, fortunate, favorable",1,Adjective
"prosternō prosternere prostrāvī prostrātum","to knock down, overthrow, prostrate",1,Verb
Latin Word,English Definition(s),Frequency,Part of Speech
"prout","as, just as, according as",1,Conjunction
"prūdentia prūdentiae {f.}","foresight, wisdom, prudence",1,Noun
"pūblicus pūblica pūblicum","public, of the state",1,Adjective
"Pūblius Pūbliī {m.}","Publius (a Roman first name)",1,Noun
"pudīcitia pudīcitiae {f.}","chastity, modesty, virtue",1,Noun
"puella puellae {f.}","girl",1,Noun
"puellula puellulae {f.}","a little girl",1,Noun
"purpureus purpurea purpureum","purple, crimson",1,Adjective
"Pȳrēnaeus Pȳrēnaea Pȳrēnaeum","of the Pyrenees",1,Adjective
"Pyrrhō (Pyrrhōn) Pyrrhōnis {m.}","Pyrrho (a Greek Skeptic philosopher)",1,Noun
"quadrāgintā {;} quadrāgēsimus quadrāgēsima quadrāgēsimum","forty; fortieth",1,Numeral
"quadringentī (quadrigentī) quadringentae quadringenta {;} quadringentēsimus quadringentēsima quadringentēsimum","four hundred; four-hundredth",1,Numeral
"quaestor quaestōris {m.}","quaestor (a Roman magistrate)",1,Noun
"quaestus quaestūs {m.}","gain, profit, occupation",1,Noun
"quālis quāle","of what sort, what kind of",1,Adjective
"quamvīs","although, however much",1,Conjunction
"quandō","when, since",1,Conjunction
"quantuscumque quantacumque quantumcumque","however great, of whatever size",1,Adjective
"quattuor {;} quārtus quārta quārtum","four; fourth",1,Numeral
"quattuordecim {;} quārtus decimus quārta decima quārtum decimum","fourteen; fourteenth",1,Numeral
"queō quīre quīvī {/} quiī quitus","to be able, can",1,Verb
"querimōnia querimōniae {f.}","complaint",1,Noun
"quia","because",1,Conjunction
"quīcumque quaecumque quodcumque","whoever, whatever",1,Pronoun
"quiētus quiēta quiētum","quiet, calm, peaceful",1,Adjective
"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})","anyone you please, anything whatever",1,Pronoun
"quīndecim {;} quīntus decimus quīnta decima quīntum decimum","fifteen; fifteenth",1,Numeral
"quīvīs quaevīs quodvīs {or (subst.)} quidvīs","anyone you wish, anything whatever",1,Pronoun
"quō","where, to what place",1,Adverb
"quōmodō {or separately} quō modō","how, in what way",1,Adverb
"quotiēnscumque {or} quotiēnsque","however often, as often as",1,Adverb
"rapīna rapīnae {f.}","robbery, plunder",1,Noun
"rapiō rapere rapuī raptus","to seize, snatch, carry off",1,Verb
"raptim","hurriedly, suddenly",1,Adverb
"Rauracus Rauraca Rauracum","of the Rauraci (a Gallic tribe)",1,Adjective
"Ravenna Ravennae {f.}","Ravenna (a city in Italy)",1,Noun
"receptus receptūs {m.}","retreat, refuge",1,Noun
"recitō recitāre recitāvī recitātus","to read aloud, recite",1,Verb
"recordātiō recordātiōnis {f.}","recollection, remembrance",1,Noun
"recuperō recuperāre recuperāvī recuperātus","to recover, regain",1,Verb
"recurrō recurrere recurrī recursus","to run back, return",1,Verb
"recūsātiō recūsātiōnis {f.}","refusal, objection, protest",1,Noun
"redigō redigere redēgī redāctum","to drive back, reduce, render",1,Verb
"reditiō reditiōnis {f.}","a return",1,Noun
"reditus reditūs {m.}","return",1,Noun
"rēfert rēferre rētulit","it concerns, it matters, it is important",1,Verb
"regiō regiōnis {f.}","region, district, country",1,Noun
"rēgius rēgia rēgium","royal, of a king",1,Adjective
"reiciō reicere reiēcī reiectum","to throw back, reject, drive back",1,Verb
"remaneō remanēre remānsī remānsum","to remain behind, stay",1,Verb
"reprimō reprimere repressī repressus","to check, restrain, repress",1,Verb
"repulsa repulsae {f.}","rejection, defeat (in an election)",1,Noun
"requiēscō requiēscere requiēvī requiētum","to rest, find rest",1,Verb
"requīrō requīrere requīsīvī requīsītus","to seek, ask for, need",1,Verb
"rescindō rescindere rescidī rescissus","to cut down, tear down, annul",1,Verb
"rēsedeō rēsedēre rēsēdī rēsessum","to sit back, remain sitting; subside",1,Verb
"reservō reservāre reservāvī reservātus","to keep back, reserve, save",1,Verb
"resideō residēre resēdī resessum","to sit down, remain, reside",1,Verb
"resistō resistere restitī","to resist, oppose, withstand (+ dative)",1,Verb
"resonō resonāre resonāvī resonātus","to resound, echo",1,Verb
"respectō respectāre respectāvī respectātus","to look back at, regard, await",1,Verb
"rēspōnsum rēspōnsī {n. or} respōnsus respōnsūs {m.}","answer, response",1,Noun
"restō restāre restitī restitum","to remain, be left",1,Verb
"retardō retardāre retardāvī retardātus","to delay, hinder, slow down",1,Verb
"revocō revocāre revocāvī revocātus","to call back, recall, revoke",1,Verb
"rhētor rhētoris {m.}","rhetorician, teacher of rhetoric",1,Noun
"rīpa rīpae {f.}","bank (of a river)",1,Noun
"rīvālis rīvālis {m.}","rival (in love)",1,Noun
"rōbur rōboris {n.}","oak, strength, hardness",1,Noun
"Rōscius Rōscia Rōscium","Roscian, of Roscius",1,Adjective
"Rōscius Rōsciī {m.}","Roscius (a Roman actor)",1,Noun
"rōstrum rōstrī {n.}","beak (of a ship); (pl.) the Rostra (speaker's platform)",1,Noun
"rudis rude","rough, crude, unpolished",1,Adjective
"Rūfus Rūfī {m.}","Rufus (a Roman name)",1,Noun
"rūmor rūmōris {m.}","rumor, gossip, report",1,Noun
"rumpō rumpere rūpī ruptus","to break, burst, rupture",1,Verb
"ruō ruere ruī rūtum","to rush, fall, be ruined",1,Verb
"rūrsus {or} rūrsum","again, back",1,Adverb
"sacrāmentum sacrāmentī {n.}","oath of allegiance, sacrament",1,Noun
"saeculum saeculī {n.}","age, generation, century",1,Noun
"Sagae Sagārum {m. pl.}","the Sagae (a Scythian people)",1,Noun
"sagittifer sagittifera sagittiferum","arrow-bearing, armed with arrows",1,Adjective
"salīnae salīnārum {f. pl.}","salt-works, salt pits",1,Noun
"sapiēns sapientis","wise; (as a noun) a wise man, philosopher",1,Adjective
"sapienter sapientius sapientissimē","wisely",1,Adverb
"satis {or} sat ({comp.} satius)","enough, sufficient",1,"Adverb / Adjective (indecl.)"
"satisfaciō (satis faciō) satisfacere satisfēcī satisfactum","to satisfy, make amends",1,Verb
"satisfīō satisfierī satisfactus sum","to be satisfied",1,Verb
"Sāturnīnus Sāturnīnī {m.}","Saturninus (a Roman name)",1,Noun
"scelerātus scelerāta scelerātum","wicked, criminal, accursed",1,Adjective
"scortum scortī {n.}","prostitute, harlot",1,Noun
"scrīptūra scrīptūrae {f.}","a writing, composition, tax on pasturage",1,Noun
"sēdēs sēdis {f.}","seat, home, residence",1,Noun
"sēditiō sēditiōnis {f.}","sedition, rebellion, mutiny",1,Noun
"sēdō sēdāre sēdāvī sēdātus","to settle, calm, allay",1,Verb
"sēgnis sēgne","slow, lazy, sluggish",1,Adjective
"sēiungō sēiungere sēiūnxī sēiūnctus","to separate, disjoin",1,Verb
"sēmentis sēmentis {f.}","a sowing, seeding",1,Noun
"septemgeminus septemgemina septemgeminum","sevenfold",1,Adjective
"Sēquana Sēquanae {f.}","the Seine river",1,Noun
"sērō","late, too late",1,Adverb
"Sertōriānus Sertōriāna Sertōriānum","of Sertorius, Sertorian",1,Adjective
"sestertiūm {gen. pl.; rarely} sestertiōrum {or} sestertiūm nummūm","of sesterces",1,Noun
"sexāgiēs (sexāgiēns)","sixty times",1,Adverb
"significātiō significātiōnis {f.}","meaning, indication, sign",1,Noun
